"ID","MonthlyIncome"
871,5992.58943564889
872,2744.86152470959
873,12179.9090958942
874,2099.40557029157
875,2150.26518446135
876,6364.21200260928
877,5243.76008493062
878,2007.63888680503
879,2374.76682344133
880,12368.2243244386
881,9762.81931877821
882,2528.42126647592
883,6010.21318905746
884,5707.57352539161
885,5996.53567932543
886,5883.38231189259
887,5854.69410740449
888,6048.13750981272
889,5464.15279541258
890,2547.73145324515
891,5863.10308793517
892,8731.47928682555
893,8655.1193248662
894,5700.07639881666
895,9632.04303827455
896,9210.65372120825
897,8685.87397288042
898,15641.267843943
899,6060.9044976649
900,2963.26671755372
901,2690.9410837464
902,6167.15338717327
903,6498.47810879556
904,2835.81980490535
905,16473.9025550031
906,5575.20976029977
907,9442.76464243535
908,6129.79826175709
909,2255.17185264169
910,2437.93969826859
911,18902.9452755254
912,2530.43520967961
913,2596.68764294627
914,12875.8526935105
915,6248.51749454808
916,5021.34889154951
917,2686.21818431913
918,5775.09996118628
919,2553.26744827919
920,2886.23087755266
921,2474.10527101374
922,2386.58315904489
923,5549.63396872995
924,5426.31947944057
925,16894.8982888708
926,2645.80936534932
927,6003.85468449783
928,12871.5008489811
929,1907.35112324702
930,2288.53832317855
931,5630.14913128225
932,12996.8289450534
933,8738.93871188862
934,2349.2037227554
935,2067.7944357654
936,2015.88446023342
937,9204.51148927274
938,8938.80564115971
939,5998.48230563933
940,2522.02020016989
941,2794.25451707815
942,9167.41584236608
943,9483.21850853054
944,6009.11980079781
945,2228.5779104205
946,5635.71924206848
947,2425.85805866186
948,2655.75618540974
949,2568.55909136806
950,5607.57053002074
951,2711.9031822472
952,5952.37718722312
953,5929.71998638262
954,2199.51309673928
955,4968.7392946836
956,8373.48428940152
957,10059.7288897869
958,2230.37333528164
959,9110.39501974648
960,19920.4931843721
961,2580.2164783465
962,5739.01332254118
963,5942.66854701405
964,6056.16898281821
965,2675.48616994309
966,19498.5426021454
967,2366.14884017406
968,9120.47842397482
969,16566.2256365931
970,2296.420008563
971,5744.84156003803
972,6252.79628654747
973,2115.89222035677
974,2293.12914991002
975,6012.62761049626
976,2509.53739208303
977,6269.37043880759
978,2446.04890763393
979,8985.00813023425
980,19050.2759190425
981,2710.72999912429
982,9064.92373257806
983,2535.2366144121
984,2477.04215757511
985,5945.9221088029
986,2672.23918921793
987,2527.63316522422
988,5958.92241486124
989,8821.65859751566
990,2560.66394536499
991,5897.1118843456
992,2721.66859781775
993,5809.47893910821
994,5737.16854229683
995,5277.69081318887
996,5832.73048465884
997,2431.60890984172
998,16777.3243216622
999,8841.53767162472
1000,2073.82412841081
1001,5992.07650050534
1002,5301.252273122
1003,5773.35084117315
1004,6664.49284904925
1005,3175.37524305775
1006,6018.97825084601
1007,2516.30879841958
1008,6125.95333694726
1009,19358.078269034
1010,5990.51317806747
1011,9327.72556547825
1012,5948.23198567725
1013,6171.8011292371
1014,5206.60352190206
1015,5609.69097296433
1016,2405.61026637914
1017,2606.77772520063
1018,8722.68047083607
1019,9169.83307779435
1020,2117.48987149783
1021,5931.71463081959
1022,5696.25475630651
1023,5822.06992563608
1024,9576.15373018832
1025,15930.4251831857
1026,18537.4904151939
1027,5615.8547925869
1028,5612.77050554955
1029,5897.33409030476
1030,9060.75161850287
1031,5797.13339647123
1032,2757.56853603234
1033,12533.0430163607
1034,2637.09316032823
1035,4967.12208810352
1036,2576.887985364
1037,5747.09848373777
1038,8892.32134905218
1039,12771.1225957143
1040,6119.58570024516
1041,1862.68524677258
1042,2489.8394016274
1043,8830.1811906193
1044,6270.36283302633
1045,2246.97287625293
1046,2032.58693793828
1047,6018.6286354284
1048,12878.6555234679
1049,2788.65315313579
1050,5855.0231976556
1051,9864.77503132956
1052,2134.16338858943
1053,5975.12275452973
1054,2886.28357167816
1055,2532.7617984458
1056,2551.41956995829
1057,5815.53959790792
1058,16031.6857847198
1059,6133.30606918758
1060,2695.84760239669
1061,5956.39332757594
1062,6263.68764004266
1063,6194.22035618969
1064,2500.26811836482
1065,5688.71914189271
1066,2307.62233260436
1067,3450.46066010986
1068,19769.9034788913
1069,5502.99971613972
1070,2734.07137674937
1071,2933.11194034059
1072,6204.86004917547
1073,2479.83298913193
1074,6056.50157091594
1075,5801.14590688929
1076,16762.7753368898
1077,19230.4597550716
1078,5313.36940056519
1079,5845.9561640311
1080,5943.54952202646
1081,2814.599678165
1082,2803.31120042279
1083,2361.16256279641
1084,6390.4839645693
1085,8380.22699317359
1086,8763.54719092114
1087,5884.64121023964
1088,2862.21666200696
1089,2835.97446818901
1090,5838.96057857421
1091,5604.84052909622
1092,5890.01432686084
1093,12407.1486948343
1094,5796.02477835235
1095,5413.66181368584
1096,6249.02782502481
1097,3211.38159694131
1098,2511.16107307546
1099,2471.33828958162
1100,5865.5730256508
1101,19070.5117908425
1102,6093.42294006448
1103,5896.26517857208
1104,9994.84994507739
1105,2970.07607499763
1106,2676.47609395249
1107,2914.20040810445
1108,5547.57281000787
1109,5336.6316788001
1110,5665.04721894875
1111,5875.43628705143
1112,13033.4731854376
1113,13151.0970425485
1114,6314.36147703416
1115,9526.28863041659
1116,2718.85092326185
1117,6362.66103524531
1118,5299.10164627558
1119,9395.69358699422
1120,2634.3347980619
1121,9196.2566135797
1122,16228.2100191706
1123,5736.76208991046
1124,16075.4913756582
1125,2776.99796047862
1126,2060.98877764256
1127,2359.02354442717
1128,5525.12726172004
1129,15873.8578988554
1130,2220.26249140602
1131,12784.931274777
1132,16506.0692393462
1133,6229.99357471348
1134,2108.03420964869
1135,2449.21138937034
1136,2348.83957454607
1137,2914.82256777245
1138,5659.71502988197
1139,9167.53137251487
1140,15671.6123480545
1141,6017.99988552287
1142,6076.33450080844
1143,9526.36759670531
1144,5664.55933822892
